question,alternative_a,alternative_b,alternative_c,alternative_d,answer
¿Cuál es la unidad básica de la vida?,Célula,Átomo,Molécula,Tejido,A
¿Qué organelo celular es responsable de la producción de energía?,Ribosoma,Mitocondria,Núcleo,Aparato de Golgi,B
¿Qué proceso utilizan las plantas para producir su propio alimento?,Respiración,Digestión,Fotosíntesis,Excreción,C
¿Cuál es la molécula que almacena la información genética?,ARN,Proteína,Lípido,ADN,D
¿Qué tipo de células no tienen núcleo definido?,Procariotas,Eucariotas,Animales,Vegetales,A
¿Cuál es el proceso de división celular para reproducción sexual?,Mitosis,Meiosis,Citocinesis,Cariocinesis,B
¿Qué estructura celular controla qué sustancias entran y salen de la célula?,Pared celular,Núcleo,Membrana celular,Citoplasma,C
¿Cuál es la teoría que explica el origen de las especies?,Generación espontánea,Creacionismo,Lamarckismo,Evolución,D
¿Qué científico propuso la teoría de la evolución por selección natural?,Charles Darwin,Gregor Mendel,Louis Pasteur,Alexander Fleming,A
¿Qué estructura celular contiene clorofila en las plantas?,Mitocondria,Cloroplasto,Vacuola,Ribosoma,B